Amravati,Akola,Akola,Akola,Akola,20028565,"Akot 84 VRRWSS Tq. Akola, Akot & Telhara Dist. Akola",Keliweli (New),3676,1,0.00,0.47,0.63,1.49,0.57,0.01,0.00,0.00,12.79,17.14,40.53,15.51,0.27,,,,,,,,,,,,,,2,7,0,27-May,28-May,22-May,23-May,24-May,25-May,26-May,27-May,28-May,3,7,0
Amravati,Akola,Akola,Akola,Akola,20028565,"Akot 84 VRRWSS Tq. Akola, Akot & Telhara Dist. Akola",Kawasa Bk.,1298,3,0.24,0.00,0.49,0.00,0.00,0.00,0.00,18.49,0.00,37.75,0.00,0.00,0.00,,,,,,,,,,,,,,5,7,0,27-May,28-May,22-May,23-May,24-May,25-May,26-May,27-May,28-May,4,7,0
Amravati,Akola,Akola,Akola,Akola,20028565,"Akot 84 VRRWSS Tq. Akola, Akot & Telhara Dist. Akola",Karatwadi,1682,1,0.00,1.63,0.51,2.09,0.45,1.81,0.00,0.00,96.91,30.32,124.26,26.75,107.61,,,,,,,,,,,,,,2,4,3,27-May,28-May,22-May,23-May,24-May,25-May,26-May,27-May,28-May,3,5,2
Amravati,Akola,Akola,Akola,Akola,20028565,"Akot 84 VRRWSS Tq. Akola, Akot & Telhara Dist. Akola",Jaulka,1312,1,0.00,2.19,5.16,0.18,0.41,0.00,0.00,0.00,166.92,393.23,13.72,31.25,0.00,,,,,,,,,,,,,,3,5,2,27-May,28-May,22-May,23-May,24-May,25-May,26-May,27-May,28-May,5,5,2
Amravati,Akola,Akola,Akola,Akola,20028565,"Akot 84 VRRWSS Tq. Akola, Akot & Telhara Dist. Akola",Lotkhed,1143,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,7,7,0,27-May,28-May,22-May,23-May,24-May,25-May,26-May,27-May,28-May,7,7,0
Amravati,Akola,Akola,Akola,Akola,20028565,"Akot 84 VRRWSS Tq. Akola, Akot & Telhara Dist. Akola",Maroda,1148,1,1.34,1.90,0.00,0.00,0.00,0.00,0.00,116.72,165.85,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,5,5,2,27-May,28-May,22-May,23-May,24-May,25-May,26-May,27-May,28-May,6,6,1
Amravati,Akola,Akola,Akola,Akola,20028565,"Akot 84 VRRWSS Tq. Akola, Akot & Telhara Dist. Akola",Khaparwadi Bk.,420,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,7,7,0,27-May,28-May,22-May,23-May,24-May,25-May,26-May,27-May,28-May,7,7,0
Amravati,Akola,Akola,Akola,Akola,20028565,"Akot 84 VRRWSS Tq. Akola, Akot & Telhara Dist. Akola",Khaparwadi Kh.,229,1,3.47,0.00,0.00,0.00,0.00,0.00,716.16,1513.70,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,5,5,2,27-May,28-May,22-May,23-May,24-May,25-May,26-May,27-May,28-May,5,5,2
Amravati,Akola,Akola,Akola,Akola,20028565,"Akot 84 VRRWSS Tq. Akola, Akot & Telhara Dist. Akola",Danori,1296,2,3.05,2.74,0.00,0.00,3.89,3.73,31.64,235.34,211.73,0.00,0.00,300.15,287.81,,,,,,,,,,,,,,2,3,4,27-May,28-May,22-May,23-May,24-May,25-May,26-May,27-May,28-May,2,4,3
Amravati,Akola,Akola,Akola,Akola,20028565,"Akot 84 VRRWSS Tq. Akola, Akot & Telhara Dist. Akola",Deori,2560,1,0.00,0.00,20.79,67.00,5.03,0.00,1398.78,0.00,0.00,812.11,2617.26,196.31,0.00,28-May,29-May,30-May,31-May,01-Jun,02-Jun,27-May,28-May,29-May,30-May,31-May,01-Jun,02-Jun,3,3,4,27-May,28-May,22-May,23-May,24-May,25-May,26-May,27-May,28-May,2,2,5
