"region","circle","division","sub_division","block","scheme_id","scheme_name","village_name","population","number_of_esr","water_value_day1","water_value_day2","water_value_day3","water_value_day4","water_value_day5","water_value_day6","lpcd_value_day1","lpcd_value_day2","lpcd_value_day3","lpcd_value_day4","lpcd_value_day5","lpcd_value_day6","lpcd_value_day7","water_date_day1","water_date_day2","water_date_day3","water_date_day4","water_date_day5","water_date_day6","lpcd_date_day1","lpcd_date_day2","lpcd_date_day3","lpcd_date_day4","lpcd_date_day5","lpcd_date_day6","lpcd_date_day7","consistent_zero_lpcd_for_a_week","below_55_lpcd_count","above_55_lpcd_count"
"Amravati","Akola","Akola","Akola","Akola","20028565","Akot 84 VRRWSS Tq. Akola, Akot & Telhara Dist. Akola","Deori",2560,1,"63.290000","7.500000","0.000000","16.540000","24.980000","21.110000","410.550000","2472.230000","293.040000","0.000000","646.090000","975.880000","824.700000","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr","11-Apr","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr",7,3,0
"Amravati","Akola","Akola","Akola","Akola","20028565","Akot 84 VRRWSS Tq. Akola, Akot & Telhara Dist. Akola","Alegaon",422,1,"0.350000","0.000000","0.000000","2.470000","0.000000","0.000000","628.030000","83.700000","0.000000","0.000000","585.310000","0.000000","0.000000","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr","11-Apr","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr",7,5,0
"Amravati","Akola","Akola","Akola","Akola","20028565","Akot 84 VRRWSS Tq. Akola, Akot & Telhara Dist. Akola","Alewadi",800,1,"0.330000","0.290000","0.220000","0.170000","0.160000","0.300000","23.450000","40.910000","36.250000","27.500000","21.250000","20.000000","37.210000","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr","11-Apr","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr",7,0,0
"Amravati","Akola","Akola","Akola","Akola","20028565","Akot 84 VRRWSS Tq. Akola, Akot & Telhara Dist. Akola","Dinoda",1491,2,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr","11-Apr","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr",7,2,0
"Amravati","Amravati","Amravati W.M","W.M.Amravati - 2","Achalpur","20003791","105 Villages RRWSS","Virshi",1231,1,"1.540000","1.460000","1.280000","0.910000","1.110000","1.450000","109.410000","125.250000","118.600000","103.980000","73.920000","90.170000","117.770000","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr","11-Apr","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr",7,7,0
"Amravati","Amravati","Amravati W.M","W.M.Amravati - 2","Amravati","20003791","105 Villages RRWSS","Chinchkheda",1185,2,"0.660000","0.990000","1.170000","1.030000","0.340000","1.170000","63.300000","55.290000","83.540000","98.730000","86.920000","28.690000","99.050000","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr","11-Apr","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr",7,7,0
"Amravati","Amravati","Amravati W.M","W.M.Amravati - 2","Achalpur","20003791","105 Villages RRWSS","Zanji",175,3,"2.770000","1.350000","2.710000","0.000000","0.020000","2.890000","541.910000","1580.550000","771.430000","1548.570000","0.000000","11.430000","1652.020000","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr","11-Apr","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr",7,7,0
"Amravati","Amravati","Amravati W.M","W.M.Amravati - 2","Achalpur","20003791","105 Villages RRWSS","Yelki",1086,2,"28.390000","37.630000","27.630000","41.610000","19.050000","39.870000","3569.630000","2613.810000","3465.010000","2544.030000","3831.230000","1754.070000","3671.330000","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr","11-Apr","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr",7,7,0
"Amravati","Amravati","Amravati W.M","W.M.Amravati - 2","Achalpur","20003791","105 Villages RRWSS","Wathoda",2563,2,"2.770000","2.330000","1.960000","0.360000","2.250000","2.760000","65.760000","108.170000","90.910000","76.470000","14.050000","87.790000","107.680000","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr","11-Apr","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr",7,7,0
"Amravati","Amravati","Amravati W.M","W.M.Amravati - 2","Achalpur","20003791","105 Villages RRWSS","Wandli",494,1,"3.340000","7.480000","0.240000","8.210000","0.000000","5.120000","684.100000","675.930000","1514.170000","48.580000","1661.940000","0.000000","1036.310000","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr","11-Apr","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr",7,7,0
